id,no,kode_wilayah_kemendagri,kode_wilayah_bps,kabupaten,komoditas,kebutuhan,ketersediaan,neraca,satuan,minggu_ke,bulan,tahun,status
1048,1048,32.18,3218,PANGANDARAN,BAWANG MERAH,21.47208136,29.54,8.067918642,TON,5,OKTOBER,2023,SURPLUS
1049,1049,32.18,3218,PANGANDARAN,BAWANG PUTIH,10.51632871,15.92,5.403671286,TON,5,OKTOBER,2023,SURPLUS
1050,1050,32.18,3218,PANGANDARAN,CABAI BESAR,3.232451691,29.14,25.90754831,TON,5,OKTOBER,2023,SURPLUS
1051,1051,32.18,3218,PANGANDARAN,CABAI RAWIT,15.18583998,19.8,4.614160022,TON,5,OKTOBER,2023,SURPLUS
1052,1052,32.18,3218,PANGANDARAN,DAGING SAPI/KERBAU,2.980734026,14.67925,11.69851597,TON,5,OKTOBER,2023,SURPLUS
1053,1053,32.18,3218,PANGANDARAN,DAGING AYAM RAS,78.0450135,140.3565,62.3114865,TON,5,OKTOBER,2023,SURPLUS
1054,1054,32.18,3218,PANGANDARAN,TELUR AYAM RAS,46.03388419,108.5325,62.49861581,TON,5,OKTOBER,2023,SURPLUS
1055,1055,32.18,3218,PANGANDARAN,GULA PASIR,19.50928964,24.68,5.170710356,TON,5,OKTOBER,2023,SURPLUS
1056,1056,32.18,3218,PANGANDARAN,MINYAK GORENG,76.38881774,84.888,8.499182261,TON,5,OKTOBER,2023,SURPLUS
1057,1057,32.18,3218,PANGANDARAN,BERAS,810.1769713,4046.716707,3236.539736,TON,1,NOVEMBER,2023,SURPLUS
1058,1058,32.18,3218,PANGANDARAN,JAGUNG,0.907139234,16.13475,15.22761077,TON,1,NOVEMBER,2023,SURPLUS
1059,1059,32.18,3218,PANGANDARAN,BAWANG MERAH,21.47208136,29.515,8.042918642,TON,1,NOVEMBER,2023,SURPLUS
1060,1060,32.18,3218,PANGANDARAN,BAWANG PUTIH,10.51632871,15.915,5.398671286,TON,1,NOVEMBER,2023,SURPLUS
1061,1061,32.18,3218,PANGANDARAN,CABAI BESAR,3.232451691,29.135,25.90254831,TON,1,NOVEMBER,2023,SURPLUS
1062,1062,32.18,3218,PANGANDARAN,CABAI RAWIT,15.18583998,19.8,4.614160022,TON,1,NOVEMBER,2023,SURPLUS
1063,1063,32.18,3218,PANGANDARAN,DAGING SAPI/KERBAU,2.980734026,14.67925,11.69851597,TON,1,NOVEMBER,2023,SURPLUS
1064,1064,32.18,3218,PANGANDARAN,DAGING AYAM RAS,78.0450135,140.3665,62.3214865,TON,1,NOVEMBER,2023,SURPLUS
1065,1065,32.18,3218,PANGANDARAN,TELUR AYAM RAS,46.03388419,108.4825,62.44861581,TON,1,NOVEMBER,2023,SURPLUS
1066,1066,32.18,3218,PANGANDARAN,GULA PASIR,19.50928964,24.675,5.165710356,TON,1,NOVEMBER,2023,SURPLUS
1067,1067,32.18,3218,PANGANDARAN,MINYAK GORENG,76.38881774,84.808,8.419182261,TON,1,NOVEMBER,2023,SURPLUS
1068,1068,32.18,3218,PANGANDARAN,BERAS,810.1769713,1112.769718,302.5927462,TON,2,NOVEMBER,2023,SURPLUS
1069,1069,32.18,3218,PANGANDARAN,JAGUNG,0.907139234,1.795,0.887860766,TON,2,NOVEMBER,2023,SURPLUS
1070,1070,32.18,3218,PANGANDARAN,BAWANG MERAH,21.47208136,25.705,4.232918642,TON,2,NOVEMBER,2023,SURPLUS
1071,1071,32.18,3218,PANGANDARAN,BAWANG PUTIH,10.51632871,15.93,5.413671286,TON,2,NOVEMBER,2023,SURPLUS
1072,1072,32.18,3218,PANGANDARAN,CABAI BESAR,3.232451691,33.11,29.87754831,TON,2,NOVEMBER,2023,SURPLUS
1073,1073,32.18,3218,PANGANDARAN,CABAI RAWIT,15.18583998,25.425,10.23916002,TON,2,NOVEMBER,2023,SURPLUS
1074,1074,32.18,3218,PANGANDARAN,DAGING SAPI/KERBAU,2.980734026,14.60975,11.62901597,TON,2,NOVEMBER,2023,SURPLUS
1075,1075,32.18,3218,PANGANDARAN,DAGING AYAM RAS,78.0450135,140.3365,62.2914865,TON,2,NOVEMBER,2023,SURPLUS
1076,1076,32.18,3218,PANGANDARAN,TELUR AYAM RAS,46.03388419,109.3825,63.34861581,TON,2,NOVEMBER,2023,SURPLUS
1077,1077,32.18,3218,PANGANDARAN,GULA PASIR,19.50928964,24.68,5.170710356,TON,2,NOVEMBER,2023,SURPLUS
1078,1078,32.18,3218,PANGANDARAN,MINYAK GORENG,76.38881774,84.968,8.579182261,TON,2,NOVEMBER,2023,SURPLUS
1079,1079,32.18,3218,PANGANDARAN,BERAS,810.1769713,1112.519718,302.3427462,TON,3,NOVEMBER,2023,SURPLUS
1080,1080,32.18,3218,PANGANDARAN,JAGUNG,0.907139234,1.88,0.972860766,TON,3,NOVEMBER,2023,SURPLUS
1081,1081,32.18,3218,PANGANDARAN,BAWANG MERAH,21.47208136,25.7,4.227918642,TON,3,NOVEMBER,2023,SURPLUS
1082,1082,32.18,3218,PANGANDARAN,BAWANG PUTIH,10.51632871,15.93,5.413671286,TON,3,NOVEMBER,2023,SURPLUS
1083,1083,32.18,3218,PANGANDARAN,CABAI BESAR,3.232451691,33.115,29.88254831,TON,3,NOVEMBER,2023,SURPLUS
1084,1084,32.18,3218,PANGANDARAN,CABAI RAWIT,15.18583998,25.42,10.23416002,TON,3,NOVEMBER,2023,SURPLUS
1085,1085,32.18,3218,PANGANDARAN,DAGING SAPI/KERBAU,2.980734026,14.60475,11.62401597,TON,3,NOVEMBER,2023,SURPLUS
1086,1086,32.18,3218,PANGANDARAN,DAGING AYAM RAS,78.0450135,140.3465,62.3014865,TON,3,NOVEMBER,2023,SURPLUS
1087,1087,32.18,3218,PANGANDARAN,TELUR AYAM RAS,46.03388419,108.7325,62.69861581,TON,3,NOVEMBER,2023,SURPLUS
1088,1088,32.18,3218,PANGANDARAN,GULA PASIR,19.50928964,24.69,5.180710356,TON,3,NOVEMBER,2023,SURPLUS
1089,1089,32.18,3218,PANGANDARAN,MINYAK GORENG,76.38881774,84.928,8.539182261,TON,3,NOVEMBER,2023,SURPLUS
1090,1090,32.18,3218,PANGANDARAN,BERAS,810.1769713,1113.519718,303.3427462,TON,4,NOVEMBER,2023,SURPLUS
1091,1091,32.18,3218,PANGANDARAN,JAGUNG,0.907139234,1.93,1.022860766,TON,4,NOVEMBER,2023,SURPLUS
1092,1092,32.18,3218,PANGANDARAN,BAWANG MERAH,21.47208136,25.72,4.247918642,TON,4,NOVEMBER,2023,SURPLUS
1093,1093,32.18,3218,PANGANDARAN,BAWANG PUTIH,10.51632871,16.04,5.523671286,TON,4,NOVEMBER,2023,SURPLUS
1094,1094,32.18,3218,PANGANDARAN,CABAI BESAR,3.232451691,33.115,29.88254831,TON,4,NOVEMBER,2023,SURPLUS
1095,1095,32.18,3218,PANGANDARAN,CABAI RAWIT,15.18583998,25.44,10.25416002,TON,4,NOVEMBER,2023,SURPLUS
1096,1096,32.18,3218,PANGANDARAN,DAGING SAPI/KERBAU,2.980734026,14.65975,11.67901597,TON,4,NOVEMBER,2023,SURPLUS
1097,1097,32.18,3218,PANGANDARAN,DAGING AYAM RAS,78.0450135,140.3865,62.3414865,TON,4,NOVEMBER,2023,SURPLUS
1098,1098,32.18,3218,PANGANDARAN,TELUR AYAM RAS,46.03388419,108.4325,62.39861581,TON,4,NOVEMBER,2023,SURPLUS
1099,1099,32.18,3218,PANGANDARAN,GULA PASIR,19.50928964,24.385,4.875710356,TON,4,NOVEMBER,2023,SURPLUS
1100,1100,32.18,3218,PANGANDARAN,MINYAK GORENG,76.38881774,84.984,8.595182261,TON,4,NOVEMBER,2023,SURPLUS
